H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
178,10,45,118,15,45,39,25,45,27,40,60,99,60,56,39,60,46,350,60,46
215,15,50,5,20,50,175,15,45,215,22,50,15,40,48,356,42,50,38,40,48
140,15,45,200,15,50,80,25,45,14,35,45,184,45,37,120,45,35,52,38,50  
41,20,45,26,20,50,22,30,45,205,40,40,205,40,35,240,40,45,206,40,50 
53,15,45,22,20,50,20,15,45,320,18,20,53,35,30,110,45,35,100,50
32,20,45,57,15,45,127,15,45,49,40,45,311,35,45,22,40,45,349,35,45
130,15,45,92,15,42,59,25,45,59,20,30,60,45,59,95,35,20,95,35
75,20,50,59,20,50,38,25,50,42,30,50,55,45,45,100,30,40,6,45,40
165,15,45,60,20,45,56,15,50,45,35,45,23,20,30,37,45,35,27,45,45
42,15,45,64,20,50,155,10,45,61,40,40,42,45,40,113,25,45,15,45,40
206,15,50,76,15,50,36,15,45,256,40,45,196,40,45,219,45,45,46,40,45 
35,10,45,148,25,45,148,15,40,345,40,45,95,40,40,155,40,45,353,45,45 
18,20,45,198,20,45,198,20,45,18,40,45,198,40,45,198,40,45,33,45,45
68,15,45,199,25,45,175,25,45,199,40,45,180,45,40,225,30,45,49,45,45
195,25,50,200,20,50,207,25,50,220,30,45,199,40,45,210,35,45,11,35,45
50,15,45,184,10,45,155,12,45,22,15,45,184,40,45,155,30,45,46,45,45
15,30,50,172,15,45,42,20,45,30,40,45,172,40,45,42,40,45,10,50,45
80,15,45,213,20,45,171,20,45,82,20,45,243,40,45,203,45,45,49,45,45
137,20,45,180,20,45,206,20,45,223,30,45,170,40,45,100,45,40,54,45,45
0,25,45,34,20,45,48,25,45,356,30,45,38,40,40,15,40,45,182,10,40
185,20,45,14,25,45,355,30,45,18,40,45,14,40,45,185,30,45,46,40,45
43,15,45,183,10,45,90,10,45,183,35,45,43,45,40,86,10,45,1,30,45
57,20,45,201,15,45,27,25,45,26,30,45,201,30,45,353,35,45,57,25,45
43,15,45,0,15,45,73,15,45,350,30,45,43,40,45,22,40,45,320,18,45
67,15,45,49,20,45,30,25,45,67,25,45,51,20,45,339,30,45,311,20,45
67,15,45,49,20,45,30,25,45,67,25,45,51,20,45,339,30,45,311,20,45
165,15,45,27,20,45,45,20,45,55,25,45,23,15,40,37,25,45,170,20,45
155,15,45,61,15,45,42,20,45,15,30,45,60,30,45,155,25,45,61,25,45
161,20,45,95,18,45,55,15,45,55,20,45,31,25,50,17,20,45,161,25,45
190,15,45,105,15,45,150,15,45,18,25,45,10,30,45,45,25,45,20,30,45
68,20,45,199,15,45,180,20,45,175,25,45,199,35,45,68,40,45,49,30,45
